# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
730100 -15.6658 -16
730200 -15.6788 -16
730300 -15.9018 -16
730400 -16.0965 -16
730500 -16.2863 -16
730600 -16.3917 -16
730700 -16.3669 -16
730800 -16.2933 -16
730900 -16.125 -16
731000 -16.0997 -16
731100 -15.8497 -16
731200 -15.6375 -16
731300 -15.4482 -16
731400 -15.546 -16
731500 -15.9632 -16
731600 -16.1656 -16
731700 -16.1092 -16
731800 -15.9916 -16
731900 -15.8451 -16
732000 -15.8993 -16
732100 -15.7591 -16
732200 -15.5326 -16
732300 -15.4923 -16
732400 -15.5739 -16
732500 -15.9137 -16
732600 -16.298 -16
732700 -16.4314 -16
732800 -16.1876 -16
732900 -15.9137 -16
733000 -15.9045 -16
733100 -15.8004 -16
733200 -15.4429 -16
733300 -15.1508 -16
733400 -15.0818 -16
733500 -15.2764 -16
733600 -15.4648 -16
733700 -15.7106 -16
733800 -16.0447 -16
733900 -16.2817 -16
734000 -16.4159 -16
734100 -16.6047 -16
734200 -16.7149 -16
734300 -16.8088 -16
734400 -16.985 -16
734500 -16.8151 -16
734600 -16.6934 -16
734700 -16.7146 -16
734800 -16.8184 -16
734900 -16.7604 -16
735000 -16.6731 -16
735100 -16.6837 -16
735200 -16.8716 -16
735300 -17.0651 -16
735400 -17.117 -16
735500 -16.8156 -16
735600 -16.4451 -16
735700 -16.0077 -16
735800 -15.5787 -16
735900 -15.1892 -16
736000 -14.9607 -16
736100 -14.9445 -16
736200 -14.9506 -16
736300 -15.0825 -16
736400 -15.1707 -16
736500 -15.3888 -16
736600 -15.7785 -16
736700 -16.1327 -16
736800 -16.5936 -16
736900 -16.8755 -16
737000 -17.2623 -16
737100 -17.6005 -16
737200 -17.7704 -16
737300 -17.4239 -16
737400 -16.7833 -16
737500 -16.1306 -16
737600 -15.5516 -16
737700 -15.0731 -16
737800 -15.2321 -16
737900 -15.4582 -16
738000 -15.4664 -16
738100 -15.3535 -16
738200 -15.5728 -16
738300 -15.9763 -16
738400 -16.2016 -16
738500 -16.302 -16
738600 -16.16 -16
738700 -15.8675 -16
738800 -15.6255 -16
738900 -15.4554 -16
739000 -15.5527 -16
739100 -15.6227 -16
739200 -15.65 -16
739300 -15.6808 -16
739400 -15.6064 -16
739500 -15.4996 -16
739600 -15.4732 -16
739700 -15.5435 -16
739800 -15.7576 -16
739900 -15.7695 -16
740000 -15.4358 -16
740100 -15.191 -16
740200 -15.193 -16
740300 -15.3307 -16
740400 -15.7231 -16
740500 -16.1132 -16
740600 -16.426 -16
740700 -16.8362 -16
740800 -16.9987 -16
740900 -17.0954 -16
741000 -17.156 -16
741100 -16.8397 -16
741200 -16.4261 -16
741300 -16.0619 -16
741400 -15.7298 -16
741500 -15.898 -16
741600 -15.8206 -16
741700 -15.5164 -16
741800 -15.202 -16
741900 -15.3151 -16
742000 -15.5653 -16
742100 -15.7396 -16
742200 -15.7594 -16
742300 -15.7553 -16
742400 -15.7926 -16
742500 -15.7463 -16
742600 -15.8622 -16
742700 -16.2129 -16
742800 -16.5741 -16
742900 -16.4474 -16
743000 -16.1521 -16
743100 -15.7878 -16
743200 -15.6722 -16
743300 -15.8577 -16
743400 -16.1932 -16
743500 -16.2049 -16
743600 -15.8699 -16
743700 -15.5752 -16
743800 -15.3629 -16
743900 -15.4657 -16
744000 -15.9953 -16
744100 -16.4123 -16
744200 -16.535 -16
744300 -16.5209 -16
744400 -16.328 -16
744500 -15.7988 -16
744600 -15.4081 -16
744700 -15.2259 -16
744800 -15.2814 -16
744900 -15.5341 -16
745000 -15.9893 -16
745100 -16.4531 -16
745200 -16.693 -16
745300 -16.9201 -16
745400 -16.987 -16
745500 -16.9666 -16
745600 -16.8508 -16
745700 -16.4906 -16
745800 -15.8276 -16
745900 -15.2482 -16
746000 -15.0873 -16
746100 -15.0103 -16
746200 -15.2001 -16
746300 -15.6026 -16
746400 -15.8488 -16
746500 -16.0452 -16
746600 -16.0273 -16
746700 -15.7218 -16
746800 -15.5347 -16
746900 -15.5213 -16
747000 -15.4774 -16
747100 -15.5077 -16
747200 -15.595 -16
747300 -15.7003 -16
747400 -16.0306 -16
747500 -16.5202 -16
747600 -17.2163 -16
747700 -17.3483 -16
747800 -17.2032 -16
747900 -16.9543 -16
748000 -16.6695 -16
748100 -16.4807 -16
748200 -16.4412 -16
748300 -16.4059 -16
748400 -16.2157 -16
748500 -16.1624 -16
748600 -16.2403 -16
748700 -16.2937 -16
748800 -16.1569 -16
748900 -16.0713 -16
749000 -16.1484 -16
749100 -16.3946 -16
749200 -16.6692 -16
749300 -16.8386 -16
