# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
1830100 3.60807 4
1830200 3.3395 4
1830300 3.34261 4
1830400 3.53075 4
1830500 3.71751 4
1830600 3.84455 4
1830700 3.85267 4
1830800 3.85646 4
1830900 3.90881 4
1831000 3.97671 4
1831100 4.3213 4
1831200 4.68057 4
1831300 4.7939 4
1831400 4.63538 4
1831500 3.99674 4
1831600 3.35484 4
1831700 3.2375 4
1831800 3.24663 4
1831900 3.49283 4
1832000 3.94256 4
1832100 4.44292 4
1832200 5.00408 4
1832300 5.28706 4
1832400 5.02282 4
1832500 4.69613 4
1832600 4.65487 4
1832700 4.47605 4
1832800 4.12843 4
1832900 3.72049 4
1833000 3.21996 4
1833100 3.21953 4
1833200 3.82155 4
1833300 4.36021 4
1833400 4.65834 4
1833500 4.64186 4
1833600 4.56068 4
1833700 4.48282 4
1833800 4.44227 4
1833900 4.23539 4
1834000 3.9981 4
1834100 4.0075 4
1834200 4.00075 4
1834300 4.19367 4
1834400 4.1709 4
1834500 4.05157 4
1834600 4.15183 4
1834700 4.12777 4
1834800 3.74133 4
1834900 3.42929 4
1835000 3.52265 4
1835100 3.71927 4
1835200 4.02298 4
1835300 4.26654 4
1835400 4.50732 4
1835500 4.68083 4
1835600 4.83593 4
1835700 4.82671 4
1835800 4.7626 4
1835900 4.50936 4
1836000 4.25648 4
1836100 4.23992 4
1836200 4.19959 4
1836300 4.07937 4
1836400 3.83765 4
1836500 3.63744 4
1836600 3.70039 4
1836700 3.5788 4
1836800 3.60809 4
1836900 3.80922 4
1837000 3.98347 4
1837100 4.01833 4
1837200 4.10238 4
1837300 4.09861 4
1837400 3.99149 4
1837500 3.80466 4
1837600 3.861 4
1837700 4.18506 4
1837800 4.8054 4
1837900 5.34467 4
1838000 5.68619 4
1838100 5.65487 4
1838200 5.72522 4
1838300 5.4742 4
1838400 4.90775 4
1838500 4.10083 4
1838600 3.4288 4
1838700 3.4086 4
1838800 3.79809 4
1838900 4.11758 4
1839000 4.29215 4
1839100 4.59833 4
1839200 4.75681 4
1839300 4.77595 4
1839400 4.56922 4
1839500 4.47253 4
1839600 4.55095 4
1839700 4.61155 4
1839800 4.37206 4
1839900 3.91347 4
1840000 3.67118 4
1840100 3.80207 4
1840200 3.83593 4
1840300 4.18932 4
1840400 4.61369 4
1840500 4.81237 4
1840600 4.89708 4
1840700 4.8624 4
1840800 4.57647 4
1840900 4.12947 4
1841000 3.70433 4
1841100 3.69146 4
1841200 3.61182 4
1841300 3.37784 4
1841400 3.39156 4
1841500 3.65152 4
1841600 3.7638 4
1841700 3.94697 4
1841800 4.30573 4
1841900 4.78177 4
1842000 5.16977 4
1842100 5.32164 4
1842200 5.3275 4
1842300 5.40809 4
1842400 5.40486 4
1842500 5.18538 4
1842600 4.99597 4
1842700 4.60069 4
1842800 4.48394 4
1842900 4.14405 4
1843000 3.59652 4
1843100 3.2959 4
1843200 3.38027 4
1843300 3.54309 4
1843400 3.67832 4
1843500 3.57521 4
1843600 3.54683 4
1843700 3.68873 4
1843800 3.79107 4
1843900 3.69021 4
1844000 3.78004 4
1844100 3.80505 4
1844200 3.84477 4
1844300 4.1067 4
1844400 4.40397 4
1844500 4.65934 4
1844600 4.87955 4
1844700 5.07914 4
1844800 4.96866 4
1844900 4.74494 4
1845000 4.63555 4
1845100 4.73708 4
1845200 4.74359 4
1845300 4.67466 4
1845400 4.43236 4
1845500 4.25281 4
1845600 4.2969 4
1845700 4.45555 4
1845800 4.62651 4
1845900 4.71806 4
1846000 5.04479 4
1846100 5.42865 4
1846200 5.9173 4
1846300 6.32294 4
1846400 6.1066 4
1846500 5.49136 4
1846600 4.65379 4
1846700 4.32427 4
1846800 4.28425 4
1846900 4.22415 4
1847000 4.11574 4
1847100 4.07642 4
1847200 4.10464 4
1847300 4.15417 4
1847400 4.1102 4
1847500 4.05955 4
1847600 3.95724 4
1847700 3.99631 4
1847800 3.99313 4
1847900 4.25561 4
1848000 4.64776 4
1848100 4.8375 4
1848200 4.77079 4
1848300 4.5279 4
1848400 4.30648 4
1848500 4.08393 4
1848600 3.93505 4
1848700 3.91149 4
1848800 4.02372 4
1848900 4.1761 4
1849000 4.14992 4
1849100 4.07554 4
1849200 4.31577 4
1849300 4.5814 4
1849400 4.56439 4
1849500 4.23615 4
1849600 3.76803 4
1849700 3.38613 4
1849800 3.30338 4
1849900 3.35581 4
1850000 3.61688 4
1850100 3.71912 4
1850200 3.83785 4
1850300 3.91757 4
1850400 3.9112 4
1850500 3.93151 4
1850600 4.0757 4
1850700 4.19142 4
1850800 4.11612 4
1850900 3.89293 4
1851000 3.74832 4
1851100 3.56976 4
1851200 3.36837 4
1851300 3.52757 4
1851400 3.50926 4
1851500 3.41188 4
1851600 3.38446 4
1851700 3.46041 4
1851800 3.59333 4
1851900 3.57182 4
1852000 3.75189 4
1852100 4.13626 4
1852200 4.36867 4
1852300 4.39746 4
1852400 4.40968 4
1852500 4.19287 4
1852600 3.81886 4
1852700 3.4689 4
1852800 3.34163 4
1852900 3.52923 4
1853000 3.76063 4
1853100 3.71279 4
1853200 3.67966 4
1853300 3.89745 4
1853400 4.2594 4
1853500 4.66423 4
1853600 4.93883 4
1853700 5.00662 4
1853800 4.8921 4
1853900 4.87694 4
1854000 4.91765 4
1854100 4.87623 4
1854200 4.91628 4
1854300 4.76108 4
1854400 4.59196 4
1854500 4.49461 4
1854600 4.33159 4
1854700 4.41375 4
1854800 4.55903 4
1854900 4.51271 4
1855000 4.35818 4
1855100 3.97153 4
1855200 3.55421 4
1855300 3.34911 4
1855400 3.39295 4
1855500 3.67947 4
1855600 4.12448 4
1855700 4.40325 4
1855800 4.45598 4
1855900 4.29239 4
1856000 4.03846 4
1856100 3.72655 4
1856200 3.68219 4
1856300 3.74682 4
1856400 3.82195 4
1856500 3.65523 4
1856600 3.73933 4
1856700 3.75 4
1856800 4.11461 4
1856900 4.25024 4
1857000 4.40779 4
1857100 4.37754 4
1857200 4.37126 4
1857300 4.4724 4
1857400 4.30222 4
1857500 4.1823 4
1857600 4.45409 4
1857700 4.906 4
1857800 5.01046 4
1857900 4.88681 4
1858000 4.86235 4
1858100 4.87023 4
1858200 4.7407 4
1858300 4.66572 4
1858400 4.68932 4
1858500 4.92699 4
1858600 4.98015 4
1858700 4.7778 4
1858800 4.51856 4
1858900 4.36196 4
1859000 4.33017 4
1859100 4.50868 4
1859200 4.56251 4
1859300 4.38865 4
1859400 4.11812 4
1859500 3.87159 4
1859600 3.86529 4
1859700 3.71147 4
1859800 3.31509 4
1859900 3.09428 4
1860000 3.24489 4
1860100 3.45804 4
1860200 3.7675 4
1860300 4.08362 4
1860400 4.4362 4
1860500 4.58948 4
1860600 4.66297 4
1860700 4.66481 4
1860800 4.88313 4
1860900 5.11757 4
1861000 5.15419 4
1861100 4.90287 4
1861200 4.27934 4
1861300 3.88039 4
1861400 3.66734 4
1861500 3.57557 4
1861600 3.59874 4
1861700 3.64749 4
1861800 3.73346 4
1861900 3.68933 4
1862000 3.72537 4
1862100 3.85917 4
1862200 4.08008 4
1862300 4.30995 4
1862400 4.39368 4
1862500 4.62932 4
1862600 4.70896 4
1862700 4.71604 4
1862800 4.39114 4
1862900 4.11515 4
1863000 3.79077 4
1863100 3.27105 4
1863200 2.77582 4
1863300 2.46597 4
1863400 2.30073 4
1863500 2.61806 4
1863600 3.27595 4
1863700 3.91598 4
1863800 4.46094 4
1863900 4.99257 4
1864000 5.37235 4
1864100 5.34608 4
1864200 4.92368 4
1864300 4.54191 4
1864400 4.09386 4
1864500 3.59231 4
1864600 3.48552 4
1864700 4.00791 4
1864800 4.72071 4
1864900 5.17528 4
1865000 5.32452 4
1865100 5.36882 4
1865200 5.27465 4
1865300 4.8219 4
1865400 4.38308 4
1865500 4.17138 4
1865600 4.02086 4
1865700 3.8039 4
1865800 3.47422 4
1865900 3.38117 4
1866000 3.40059 4
1866100 3.65406 4
1866200 3.92442 4
1866300 4.1526 4
1866400 4.27243 4
1866500 4.27609 4
1866600 4.17204 4
1866700 3.94119 4
1866800 3.83343 4
1866900 3.76118 4
1867000 3.95974 4
1867100 3.94944 4
1867200 3.69365 4
1867300 3.40614 4
1867400 3.13743 4
1867500 3.03693 4
1867600 2.99025 4
1867700 2.99405 4
1867800 3.36822 4
1867900 3.84262 4
1868000 4.45886 4
1868100 4.5836 4
1868200 4.49665 4
1868300 4.45196 4
1868400 4.38069 4
1868500 4.12834 4
1868600 4.12126 4
1868700 4.2351 4
1868800 4.32896 4
1868900 4.13645 4
1869000 3.77275 4
1869100 3.15414 4
1869200 2.85381 4
1869300 2.95992 4
1869400 3.14984 4
1869500 3.25851 4
1869600 3.08304 4
1869700 2.97921 4
1869800 2.94573 4
1869900 3.15079 4
1870000 3.52044 4
1870100 3.9378 4
1870200 4.19675 4
1870300 4.37673 4
1870400 4.48015 4
1870500 4.47048 4
1870600 4.36999 4
1870700 4.06668 4
1870800 3.89302 4
1870900 3.71272 4
1871000 3.53423 4
1871100 3.40175 4
1871200 3.37601 4
1871300 3.29416 4
1871400 3.07855 4
1871500 3.2454 4
1871600 3.76355 4
1871700 4.15594 4
1871800 4.55778 4
1871900 4.71357 4
1872000 4.54493 4
1872100 4.14782 4
