# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
950100 -12.9652 -12
950200 -12.5048 -12
950300 -12.0098 -12
950400 -11.8928 -12
950500 -12.1353 -12
950600 -12.411 -12
950700 -12.5572 -12
950800 -12.6172 -12
950900 -12.7224 -12
951000 -12.6781 -12
951100 -12.4846 -12
951200 -12.2051 -12
951300 -12.0728 -12
951400 -12.2669 -12
951500 -12.5376 -12
951600 -12.6616 -12
951700 -12.6582 -12
951800 -12.5916 -12
951900 -12.6379 -12
952000 -12.6041 -12
952100 -12.7033 -12
952200 -13.0389 -12
952300 -13.0246 -12
952400 -12.6587 -12
952500 -12.6056 -12
952600 -12.692 -12
952700 -13.1049 -12
952800 -13.5654 -12
952900 -13.8534 -12
953000 -13.7973 -12
953100 -13.2894 -12
953200 -12.9562 -12
953300 -12.5666 -12
953400 -12.1175 -12
953500 -11.7419 -12
953600 -11.8156 -12
953700 -12.2992 -12
953800 -12.763 -12
953900 -13.2819 -12
954000 -13.3833 -12
954100 -13.014 -12
954200 -12.5291 -12
954300 -12.2926 -12
954400 -12.0607 -12
954500 -11.9831 -12
954600 -12.089 -12
954700 -12.1019 -12
954800 -12.1832 -12
954900 -12.3092 -12
955000 -12.3108 -12
955100 -12.3414 -12
955200 -12.4497 -12
955300 -12.6547 -12
955400 -12.9606 -12
955500 -12.9261 -12
955600 -12.8531 -12
955700 -13.1568 -12
955800 -13.2591 -12
955900 -13.3029 -12
956000 -13.4202 -12
956100 -13.3165 -12
956200 -13.0865 -12
956300 -12.6272 -12
956400 -12.2332 -12
956500 -12.1833 -12
956600 -12.1471 -12
956700 -11.951 -12
956800 -12.1093 -12
956900 -12.4862 -12
957000 -12.4846 -12
957100 -12.3458 -12
957200 -12.0915 -12
957300 -12.1213 -12
957400 -12.4009 -12
957500 -12.8574 -12
957600 -13.3666 -12
957700 -13.5941 -12
957800 -13.4795 -12
957900 -13.258 -12
958000 -12.8976 -12
958100 -12.481 -12
958200 -12.1803 -12
958300 -12.1898 -12
958400 -12.379 -12
958500 -12.5753 -12
958600 -12.7748 -12
958700 -12.8627 -12
958800 -12.8902 -12
958900 -12.8449 -12
959000 -12.8988 -12
959100 -12.7952 -12
959200 -12.5896 -12
959300 -12.5516 -12
959400 -12.5976 -12
959500 -12.6589 -12
959600 -12.6901 -12
959700 -12.855 -12
959800 -13.0773 -12
959900 -13.2014 -12
960000 -13.1793 -12
960100 -13.279 -12
960200 -13.4155 -12
960300 -13.2098 -12
960400 -12.9885 -12
960500 -12.6891 -12
960600 -12.3648 -12
960700 -12.056 -12
960800 -11.8769 -12
960900 -11.81 -12
961000 -11.8169 -12
961100 -12.2362 -12
961200 -12.8518 -12
961300 -13.1597 -12
961400 -13.0342 -12
961500 -12.7568 -12
961600 -12.3337 -12
961700 -12.0556 -12
961800 -11.7886 -12
961900 -11.6407 -12
962000 -11.8105 -12
962100 -12.2531 -12
962200 -12.8826 -12
962300 -13.3827 -12
962400 -13.3112 -12
962500 -13.1612 -12
962600 -13.3357 -12
962700 -13.4337 -12
962800 -13.5498 -12
962900 -13.494 -12
963000 -13.0401 -12
963100 -12.7103 -12
963200 -12.532 -12
963300 -12.2734 -12
963400 -11.8925 -12
963500 -11.6984 -12
963600 -11.7766 -12
963700 -11.9839 -12
963800 -12.3317 -12
963900 -12.7059 -12
964000 -13.2069 -12
964100 -13.5664 -12
964200 -13.3018 -12
964300 -12.7639 -12
964400 -12.2588 -12
964500 -12.0765 -12
964600 -11.9038 -12
964700 -11.6429 -12
964800 -11.3068 -12
964900 -11.3158 -12
965000 -11.4785 -12
965100 -11.9463 -12
965200 -12.5067 -12
965300 -13.0478 -12
965400 -13.3161 -12
965500 -13.2493 -12
965600 -13.1083 -12
965700 -13.0015 -12
965800 -12.7996 -12
965900 -12.5123 -12
966000 -12.5541 -12
966100 -12.5222 -12
966200 -12.3747 -12
966300 -12.4367 -12
966400 -12.5145 -12
966500 -12.7556 -12
966600 -13.0489 -12
966700 -13.1047 -12
966800 -12.8879 -12
966900 -12.7059 -12
967000 -12.4465 -12
