# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
2490100 16.0294 16
2490200 15.6932 16
2490300 15.3747 16
2490400 15.2359 16
2490500 15.0806 16
2490600 15.238 16
2490700 15.4369 16
2490800 15.5769 16
2490900 15.7938 16
2491000 15.7555 16
2491100 15.5557 16
2491200 15.4485 16
2491300 15.7311 16
2491400 16.1374 16
2491500 16.7474 16
2491600 17.4615 16
2491700 17.8723 16
2491800 18.0352 16
2491900 17.8197 16
2492000 17.4062 16
2492100 16.9524 16
2492200 16.5872 16
2492300 16.2458 16
2492400 15.8806 16
2492500 15.7259 16
2492600 15.4701 16
2492700 15.2477 16
2492800 15.208 16
2492900 15.2594 16
2493000 15.2112 16
2493100 15.073 16
2493200 15.0479 16
2493300 15.0422 16
2493400 15.1245 16
2493500 15.4599 16
2493600 15.9716 16
2493700 16.6025 16
2493800 16.8436 16
2493900 16.7008 16
2494000 16.3492 16
2494100 16.0217 16
2494200 15.9139 16
2494300 15.7847 16
2494400 15.7874 16
2494500 16.0879 16
2494600 16.4982 16
2494700 17.0315 16
2494800 17.2956 16
2494900 17.1707 16
2495000 16.8416 16
2495100 16.629 16
2495200 16.5261 16
2495300 16.3035 16
2495400 16.2481 16
2495500 16.3782 16
2495600 16.2439 16
2495700 16.1205 16
2495800 16.2586 16
2495900 16.2775 16
2496000 16.2364 16
2496100 16.0674 16
2496200 15.7844 16
2496300 15.6401 16
2496400 15.4528 16
2496500 15.2065 16
2496600 15.1447 16
2496700 15.3125 16
2496800 15.607 16
2496900 15.5768 16
2497000 15.5837 16
2497100 15.8674 16
2497200 16.1184 16
2497300 16.37 16
2497400 16.5039 16
2497500 16.4168 16
2497600 16.566 16
2497700 16.486 16
2497800 16.5095 16
2497900 16.6006 16
2498000 16.8159 16
2498100 16.8632 16
2498200 16.6942 16
2498300 16.4737 16
2498400 16.4502 16
2498500 16.4892 16
2498600 16.3166 16
2498700 16.1325 16
2498800 16.1666 16
2498900 16.17 16
2499000 15.9857 16
2499100 15.8668 16
2499200 15.8435 16
2499300 16.0117 16
2499400 16.2512 16
2499500 16.1177 16
2499600 16.0577 16
2499700 16.3959 16
2499800 16.8519 16
2499900 17.3413 16
2500000 17.46 16
2500100 17.0937 16
2500200 16.6216 16
2500300 16.3522 16
2500400 16.0494 16
2500500 15.6915 16
2500600 15.4485 16
2500700 15.4141 16
2500800 15.8122 16
2500900 16.3194 16
2501000 16.6519 16
2501100 16.9051 16
2501200 17.1595 16
2501300 17.1558 16
2501400 16.9777 16
2501500 16.8381 16
2501600 16.2119 16
2501700 15.7772 16
2501800 15.5225 16
2501900 15.7168 16
2502000 15.8035 16
2502100 15.9574 16
2502200 16.128 16
2502300 16.4918 16
2502400 16.651 16
2502500 16.4999 16
2502600 16.3625 16
2502700 16.4908 16
2502800 16.3506 16
2502900 15.9724 16
2503000 15.5705 16
2503100 15.5494 16
2503200 15.5836 16
2503300 15.6276 16
2503400 15.4699 16
2503500 15.3474 16
2503600 15.4977 16
2503700 15.7981 16
2503800 16.1914 16
2503900 16.5674 16
2504000 16.741 16
2504100 16.7791 16
2504200 16.9141 16
2504300 16.8938 16
2504400 16.758 16
2504500 16.4675 16
2504600 16.1694 16
2504700 16.0147 16
2504800 16.0613 16
2504900 16.1061 16
2505000 16.1 16
2505100 16.2799 16
2505200 16.3475 16
2505300 16.2822 16
2505400 15.9054 16
2505500 15.5993 16
2505600 15.4225 16
2505700 15.4408 16
2505800 15.6741 16
2505900 15.7639 16
2506000 15.8449 16
2506100 15.936 16
2506200 16.0271 16
2506300 15.8889 16
2506400 15.7651 16
2506500 15.7574 16
2506600 15.9472 16
2506700 16.2115 16
2506800 16.5573 16
2506900 16.7893 16
2507000 16.8864 16
2507100 16.9546 16
2507200 16.8517 16
2507300 16.5665 16
2507400 16.021 16
2507500 15.4479 16
2507600 15.4008 16
2507700 15.6729 16
2507800 16.1317 16
2507900 16.4706 16
2508000 16.4196 16
2508100 16.1086 16
2508200 15.7991 16
2508300 15.2557 16
2508400 14.5973 16
2508500 14.3348 16
2508600 14.5634 16
2508700 14.7102 16
2508800 14.9904 16
2508900 15.3729 16
2509000 15.758 16
2509100 16.1605 16
2509200 16.5497 16
2509300 16.8741 16
2509400 17.3575 16
2509500 17.5469 16
2509600 17.2043 16
2509700 16.6352 16
2509800 16.1149 16
2509900 15.7517 16
2510000 15.7671 16
2510100 16.0294 16
2510200 16.3831 16
2510300 16.3903 16
2510400 16.5677 16
2510500 16.8742 16
2510600 16.9584 16
2510700 16.5934 16
2510800 16.2007 16
2510900 15.8709 16
2511000 15.7691 16
2511100 15.7325 16
2511200 16.0592 16
2511300 16.421 16
2511400 16.3383 16
2511500 16.3347 16
2511600 16.4674 16
2511700 16.4677 16
2511800 16.3053 16
2511900 16.054 16
2512000 15.8308 16
2512100 15.7695 16
2512200 15.8823 16
2512300 16.1177 16
2512400 16.1244 16
2512500 15.8755 16
2512600 15.7055 16
2512700 15.8245 16
2512800 16.1444 16
2512900 16.7015 16
2513000 17.2264 16
2513100 17.5199 16
2513200 17.2938 16
2513300 16.969 16
2513400 16.5338 16
2513500 16.0033 16
2513600 15.6336 16
2513700 15.5369 16
2513800 15.6441 16
2513900 15.8189 16
2514000 15.9841 16
2514100 16.1473 16
2514200 16.2071 16
2514300 16.1925 16
2514400 15.8903 16
2514500 15.6593 16
2514600 15.4518 16
2514700 15.48 16
2514800 15.548 16
2514900 16.0074 16
2515000 16.509 16
2515100 16.8822 16
2515200 16.7986 16
2515300 16.4484 16
2515400 16.0292 16
2515500 15.684 16
2515600 15.7589 16
2515700 16.0253 16
2515800 16.3425 16
2515900 16.6155 16
2516000 16.83 16
2516100 17.0377 16
2516200 17.0369 16
2516300 16.7561 16
2516400 16.4302 16
2516500 16.2128 16
2516600 16.1318 16
2516700 16.1891 16
2516800 16.3278 16
2516900 16.5365 16
2517000 16.5393 16
2517100 16.2258 16
2517200 16.0363 16
2517300 16.0774 16
2517400 16.1598 16
2517500 16.194 16
2517600 16.3005 16
2517700 16.3745 16
2517800 16.2366 16
2517900 16.0698 16
2518000 16.1658 16
2518100 16.2483 16
2518200 16.0971 16
2518300 16.0497 16
2518400 16.2795 16
2518500 16.6453 16
2518600 16.652 16
2518700 16.6089 16
2518800 16.3445 16
2518900 16.2554 16
2519000 16.0677 16
2519100 15.9006 16
2519200 16.1112 16
2519300 16.3998 16
2519400 16.4038 16
2519500 16.3641 16
2519600 16.4694 16
2519700 16.7522 16
2519800 17.2007 16
2519900 17.6211 16
2520000 17.717 16
2520100 17.4864 16
2520200 16.9898 16
2520300 16.4645 16
2520400 16.2602 16
2520500 16.1942 16
2520600 16.0611 16
2520700 16.1008 16
2520800 16.3057 16
2520900 16.5143 16
2521000 16.4349 16
2521100 16.2874 16
2521200 16.2968 16
2521300 16.2235 16
2521400 16.2712 16
2521500 16.2737 16
2521600 16.2959 16
2521700 16.176 16
2521800 15.8579 16
2521900 15.7107 16
2522000 15.7217 16
2522100 15.6063 16
2522200 15.5356 16
2522300 15.8441 16
2522400 16.2 16
2522500 16.275 16
2522600 16.1011 16
2522700 15.896 16
2522800 15.6823 16
2522900 15.2883 16
2523000 15.1596 16
2523100 15.4409 16
2523200 15.6397 16
2523300 15.816 16
2523400 16.118 16
2523500 16.4214 16
2523600 16.4513 16
2523700 16.3436 16
2523800 16.6589 16
2523900 16.9158 16
2524000 16.8567 16
2524100 16.7192 16
2524200 16.3649 16
2524300 15.8835 16
2524400 15.3256 16
2524500 15.1732 16
2524600 15.6999 16
2524700 16.2523 16
2524800 16.3777 16
2524900 16.3718 16
2525000 16.2478 16
2525100 16.2252 16
2525200 16.007 16
2525300 15.7823 16
2525400 15.5752 16
2525500 15.3578 16
2525600 15.6019 16
2525700 16.0707 16
2525800 16.743 16
2525900 17.2577 16
2526000 17.501 16
2526100 17.3798 16
2526200 17.2838 16
2526300 17.1253 16
2526400 16.5388 16
2526500 15.8111 16
2526600 15.5697 16
2526700 15.6077 16
2526800 15.7515 16
2526900 15.932 16
2527000 16.0317 16
2527100 16.1885 16
2527200 16.2119 16
2527300 16.4134 16
2527400 16.4087 16
2527500 16.2019 16
2527600 16.1234 16
2527700 15.9487 16
2527800 15.9918 16
2527900 16.4855 16
2528000 16.7128 16
2528100 16.7828 16
2528200 16.9662 16
2528300 17.0912 16
2528400 16.9917 16
2528500 16.9594 16
2528600 16.9097 16
2528700 16.8408 16
2528800 16.7473 16
2528900 16.2901 16
2529000 15.9398 16
2529100 15.6931 16
2529200 15.792 16
2529300 15.8735 16
2529400 15.7919 16
2529500 15.7467 16
2529600 15.8139 16
2529700 15.8701 16
2529800 15.7128 16
2529900 15.5277 16
2530000 15.4159 16
2530100 15.0527 16
2530200 14.5833 16
2530300 14.5425 16
2530400 14.6776 16
2530500 14.8523 16
2530600 15.1733 16
2530700 15.6483 16
2530800 16.1137 16
2530900 16.3317 16
2531000 16.3746 16
2531100 16.2629 16
2531200 16.3654 16
2531300 16.6149 16
2531400 16.6227 16
2531500 16.3662 16
2531600 15.8941 16
2531700 15.4668 16
2531800 15.1748 16
2531900 15.1661 16
2532000 15.4828 16
2532100 15.9303 16
2532200 16.1156 16
2532300 16.4548 16
2532400 16.923 16
2532500 16.9797 16
2532600 16.5944 16
2532700 16.2135 16
2532800 15.955 16
2532900 16.142 16
2533000 16.4178 16
2533100 16.3804 16
2533200 16.1755 16
2533300 16.3563 16
2533400 16.5285 16
2533500 16.5265 16
2533600 16.4244 16
2533700 16.391 16
2533800 16.344 16
2533900 16.2295 16
2534000 16.0738 16
2534100 15.7215 16
2534200 15.5578 16
2534300 15.6218 16
2534400 15.9038 16
2534500 15.8703 16
2534600 15.7072 16
2534700 15.7448 16
2534800 15.5946 16
2534900 15.3205 16
2535000 15.1814 16
2535100 15.2994 16
2535200 15.356 16
2535300 15.5434 16
2535400 15.7011 16
2535500 15.5155 16
2535600 15.2942 16
2535700 15.5337 16
2535800 16.0526 16
2535900 16.2621 16
2536000 16.1992 16
2536100 16.227 16
2536200 16.4754 16
2536300 16.7392 16
2536400 16.892 16
2536500 16.8983 16
2536600 16.9957 16
2536700 16.7965 16
2536800 16.6576 16
2536900 16.6305 16
2537000 16.5807 16
2537100 16.3576 16
2537200 16.2669 16
2537300 16.1135 16
2537400 15.6621 16
2537500 15.2035 16
2537600 14.996 16
2537700 15.13 16
2537800 15.1699 16
2537900 15.4595 16
2538000 15.8805 16
2538100 16.0574 16
2538200 16.2031 16
2538300 16.2458 16
2538400 16.3675 16
2538500 16.5225 16
2538600 16.4159 16
2538700 16.312 16
2538800 16.3403 16
2538900 16.2173 16
2539000 15.8959 16
2539100 15.7421 16
2539200 15.9074 16
2539300 15.9262 16
2539400 15.8804 16
2539500 15.9884 16
2539600 16.2394 16
2539700 16.4465 16
2539800 16.2838 16
2539900 15.8847 16
2540000 15.3288 16
2540100 15.072 16
2540200 15.1128 16
2540300 15.6091 16
2540400 16.1665 16
2540500 16.4703 16
2540600 16.508 16
2540700 16.3647 16
2540800 16.027 16
2540900 15.5725 16
2541000 15.3355 16
2541100 15.2339 16
2541200 15.1712 16
2541300 15.0714 16
2541400 15.1983 16
2541500 15.265 16
2541600 15.5162 16
2541700 15.9314 16
2541800 16.2393 16
2541900 16.3748 16
2542000 16.9288 16
2542100 17.2329 16
2542200 17.2762 16
2542300 17.2109 16
2542400 17.1135 16
2542500 17.1099 16
2542600 17.0723 16
2542700 16.6469 16
2542800 16.0632 16
2542900 15.7306 16
2543000 15.665 16
2543100 15.6586 16
2543200 15.5263 16
2543300 15.5625 16
2543400 15.6807 16
2543500 15.7928 16
2543600 15.8821 16
2543700 16.054 16
2543800 16.3779 16
2543900 16.6683 16
2544000 16.871 16
2544100 16.9131 16
2544200 16.851 16
2544300 16.8338 16
2544400 16.7303 16
2544500 16.569 16
2544600 16.3396 16
2544700 16.161 16
2544800 16.0663 16
2544900 16.0991 16
2545000 15.9749 16
2545100 16.0057 16
2545200 16.1744 16
