# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
510100 -20.6073 -20
510200 -20.7909 -20
510300 -20.5251 -20
510400 -20.16 -20
510500 -19.8433 -20
510600 -19.6395 -20
510700 -19.7701 -20
510800 -19.9468 -20
510900 -19.9161 -20
511000 -19.4718 -20
511100 -18.8556 -20
511200 -18.2942 -20
511300 -18.0781 -20
511400 -18.4176 -20
511500 -18.6741 -20
511600 -18.8872 -20
511700 -19.4115 -20
511800 -19.6018 -20
511900 -19.4665 -20
512000 -19.3988 -20
512100 -19.8555 -20
512200 -20.0621 -20
512300 -20.0971 -20
512400 -19.9794 -20
512500 -19.9629 -20
512600 -20.0567 -20
512700 -19.9662 -20
512800 -19.9443 -20
512900 -19.9009 -20
513000 -19.761 -20
513100 -19.5724 -20
513200 -19.4956 -20
513300 -19.5821 -20
513400 -19.7936 -20
513500 -19.9897 -20
513600 -20.0165 -20
513700 -19.8047 -20
513800 -19.3592 -20
513900 -19.2231 -20
514000 -19.5661 -20
514100 -19.7567 -20
514200 -19.9105 -20
514300 -20.1277 -20
514400 -20.2794 -20
514500 -20.4068 -20
514600 -20.2886 -20
514700 -20.2661 -20
514800 -20.2547 -20
514900 -19.8823 -20
515000 -19.5882 -20
515100 -19.5353 -20
515200 -19.4272 -20
515300 -19.3731 -20
515400 -19.2816 -20
515500 -19.3184 -20
515600 -19.1723 -20
515700 -19.276 -20
515800 -19.4638 -20
515900 -19.4928 -20
516000 -19.3976 -20
516100 -19.5968 -20
516200 -19.9995 -20
516300 -20.2873 -20
516400 -20.4598 -20
516500 -20.2709 -20
516600 -19.9886 -20
516700 -20.0626 -20
516800 -20.3309 -20
516900 -20.6778 -20
517000 -20.9469 -20
517100 -21.0309 -20
517200 -21.0831 -20
517300 -20.9424 -20
517400 -20.6516 -20
517500 -20.1692 -20
517600 -19.803 -20
517700 -19.7853 -20
517800 -19.9945 -20
517900 -20.417 -20
518000 -20.7891 -20
518100 -20.8944 -20
518200 -20.8426 -20
518300 -20.7893 -20
518400 -20.8596 -20
518500 -20.601 -20
518600 -20.3118 -20
518700 -20.3646 -20
518800 -20.4197 -20
518900 -20.2803 -20
519000 -20.4041 -20
519100 -20.7457 -20
519200 -21.15 -20
519300 -21.2854 -20
519400 -20.9712 -20
519500 -20.4979 -20
519600 -20.2254 -20
519700 -20.0906 -20
519800 -19.8132 -20
519900 -19.4438 -20
520000 -19.4315 -20
520100 -19.7086 -20
520200 -19.8511 -20
520300 -19.8024 -20
520400 -19.6523 -20
520500 -19.5335 -20
520600 -19.4942 -20
520700 -19.7092 -20
520800 -20.0045 -20
520900 -20.3206 -20
521000 -20.4664 -20
521100 -20.6047 -20
521200 -20.7721 -20
521300 -20.7179 -20
521400 -20.2841 -20
521500 -19.875 -20
521600 -19.6602 -20
