# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
2050100 11.2878 8
2050200 10.532 8
2050300 10.0911 8
2050400 10.4423 8
2050500 11.1089 8
2050600 11.8957 8
2050700 12.1904 8
2050800 12.0334 8
2050900 11.2254 8
2051000 10.2575 8
2051100 10.1281 8
2051200 10.6871 8
2051300 11.4162 8
2051400 11.5689 8
2051500 11.3747 8
2051600 11.1981 8
2051700 10.8524 8
2051800 10.5332 8
2051900 10.4774 8
2052000 10.6385 8
2052100 11.21 8
2052200 11.6058 8
2052300 11.6509 8
2052400 11.7196 8
2052500 11.7034 8
2052600 11.5455 8
2052700 11.1156 8
2052800 10.426 8
2052900 10.0649 8
2053000 10.1798 8
2053100 10.8062 8
2053200 11.1256 8
2053300 10.9971 8
2053400 10.7837 8
2053500 10.7704 8
2053600 10.8267 8
2053700 10.6978 8
2053800 10.5803 8
2053900 10.7968 8
2054000 10.6424 8
2054100 10.2559 8
2054200 10.1266 8
2054300 10.4196 8
2054400 10.7745 8
2054500 10.9307 8
2054600 10.8165 8
2054700 10.5084 8
2054800 10.0456 8
2054900 10.1042 8
2055000 10.6245 8
2055100 10.9223 8
2055200 11.1496 8
2055300 11.2408 8
2055400 10.8376 8
2055500 10.3246 8
2055600 9.96555 8
2055700 10.2108 8
2055800 11.0273 8
2055900 11.6232 8
2056000 11.5613 8
2056100 11.1087 8
2056200 10.5317 8
2056300 10.3297 8
2056400 10.6549 8
2056500 10.8029 8
2056600 10.9734 8
2056700 11.1439 8
2056800 11.0606 8
2056900 10.989 8
2057000 10.8979 8
2057100 10.7963 8
2057200 10.7435 8
2057300 10.6731 8
2057400 10.7936 8
2057500 10.8619 8
2057600 10.7327 8
2057700 10.6366 8
2057800 10.8215 8
2057900 10.984 8
2058000 11.1839 8
2058100 11.2674 8
2058200 11.3339 8
2058300 11.213 8
2058400 11.1696 8
2058500 10.9081 8
2058600 10.6434 8
2058700 10.6041 8
2058800 10.5246 8
2058900 10.6441 8
2059000 10.6863 8
2059100 10.5717 8
2059200 10.4643 8
2059300 10.3518 8
2059400 10.3171 8
2059500 10.7578 8
2059600 11.4404 8
2059700 11.5755 8
2059800 11.2709 8
2059900 10.8838 8
2060000 10.65 8
2060100 10.8709 8
2060200 11.1643 8
2060300 10.9968 8
2060400 10.5723 8
2060500 10.2524 8
2060600 10.4368 8
2060700 10.5086 8
2060800 10.6834 8
2060900 11.3281 8
2061000 11.7499 8
2061100 11.8368 8
2061200 11.3018 8
2061300 10.699 8
2061400 10.1147 8
2061500 10.0128 8
2061600 10.4473 8
2061700 11.0055 8
2061800 11.3992 8
2061900 11.6294 8
2062000 11.0811 8
2062100 10.4126 8
2062200 10.2355 8
2062300 10.6688 8
2062400 11.0382 8
2062500 11.1308 8
2062600 10.8026 8
2062700 10.6647 8
2062800 10.6995 8
2062900 10.8138 8
2063000 10.9255 8
2063100 11.0784 8
2063200 11.2111 8
2063300 11.334 8
2063400 11.0964 8
2063500 10.7995 8
2063600 10.6508 8
2063700 10.7505 8
2063800 10.7778 8
2063900 10.8729 8
2064000 10.9351 8
2064100 10.9172 8
2064200 10.941 8
2064300 11.051 8
2064400 11.0939 8
2064500 11.0369 8
2064600 10.9873 8
2064700 10.6831 8
2064800 10.3416 8
2064900 10.2317 8
2065000 10.2844 8
2065100 10.7634 8
2065200 11.3454 8
2065300 11.6138 8
2065400 11.5851 8
2065500 11.1082 8
2065600 10.6089 8
2065700 10.4861 8
2065800 10.7057 8
2065900 11.2332 8
2066000 11.7003 8
2066100 11.8077 8
2066200 11.7316 8
2066300 11.3302 8
2066400 10.8828 8
2066500 10.5615 8
2066600 10.4307 8
2066700 10.5864 8
2066800 10.9388 8
2066900 11.2023 8
2067000 11.3633 8
2067100 11.3527 8
2067200 11.1288 8
2067300 10.5624 8
2067400 10.1827 8
2067500 10.2352 8
2067600 10.6255 8
2067700 11.3032 8
2067800 11.7544 8
2067900 11.7997 8
2068000 11.4805 8
2068100 10.8687 8
2068200 10.2885 8
2068300 10.0692 8
2068400 10.402 8
2068500 10.9697 8
2068600 11.3476 8
2068700 11.1924 8
2068800 10.8924 8
2068900 10.6241 8
2069000 10.436 8
2069100 10.4388 8
2069200 10.7714 8
2069300 11.1035 8
2069400 11.1408 8
2069500 10.8985 8
2069600 10.6286 8
2069700 10.635 8
2069800 10.7551 8
2069900 10.8408 8
2070000 10.8689 8
2070100 11.0285 8
2070200 10.8207 8
2070300 10.6419 8
2070400 10.642 8
2070500 10.8418 8
2070600 10.839 8
2070700 10.7838 8
2070800 10.7492 8
2070900 10.7807 8
2071000 10.851 8
2071100 10.958 8
2071200 11.1029 8
2071300 11.2489 8
2071400 11.2049 8
2071500 11.0734 8
2071600 10.9173 8
2071700 10.9907 8
2071800 11.0536 8
2071900 11.059 8
2072000 11.0097 8
2072100 11.2431 8
2072200 11.3538 8
2072300 11.3145 8
2072400 11.1082 8
2072500 10.7943 8
2072600 10.7798 8
2072700 10.8423 8
2072800 10.6852 8
2072900 10.5709 8
2073000 11.0685 8
2073100 11.8554 8
2073200 12.3337 8
2073300 12.2448 8
2073400 11.5705 8
2073500 10.8601 8
2073600 10.5452 8
2073700 10.5406 8
2073800 11.03 8
2073900 11.2276 8
2074000 11.0286 8
2074100 10.7777 8
2074200 10.6421 8
2074300 10.5136 8
2074400 10.6987 8
2074500 10.7795 8
2074600 10.6436 8
2074700 10.7453 8
2074800 11.0043 8
2074900 10.9243 8
2075000 10.7522 8
2075100 10.8865 8
2075200 11.1079 8
2075300 11.1948 8
2075400 11.0015 8
2075500 11.1694 8
2075600 11.3311 8
2075700 11.2586 8
2075800 11.0086 8
2075900 10.8427 8
