# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
1610100 0.163107 0
1610200 0.40916 0
1610300 0.425054 0
1610400 0.0597104 0
1610500 -0.349111 0
1610600 -0.479732 0
1610700 -0.237064 0
1610800 0.272538 0
1610900 0.772737 0
1611000 1.27968 0
1611100 1.67308 0
1611200 1.69293 0
1611300 1.42187 0
1611400 1.02779 0
1611500 0.434453 0
1611600 -0.118564 0
1611700 -0.709371 0
1611800 -1.22104 0
1611900 -1.31031 0
1612000 -1.09369 0
1612100 -0.706594 0
1612200 -0.560686 0
1612300 -0.683192 0
1612400 -0.581611 0
1612500 -0.39962 0
1612600 -0.341179 0
1612700 -0.201918 0
1612800 0.0039716 0
1612900 0.258081 0
1613000 0.420711 0
1613100 0.37575 0
1613200 0.0940254 0
1613300 -0.373373 0
1613400 -0.390181 0
1613500 -0.220565 0
1613600 -0.190655 0
1613700 -0.149408 0
1613800 -0.296505 0
1613900 -0.505247 0
1614000 -0.536925 0
1614100 -0.28798 0
1614200 0.0185432 0
1614300 0.192207 0
1614400 0.432296 0
1614500 0.561391 0
1614600 0.582223 0
1614700 0.682712 0
1614800 0.86503 0
1614900 1.16221 0
1615000 1.38918 0
1615100 1.3608 0
1615200 0.940649 0
1615300 0.228973 0
1615400 -0.222042 0
1615500 -0.354263 0
1615600 -0.280313 0
1615700 -0.361485 0
1615800 -0.445407 0
1615900 -0.175139 0
1616000 0.18742 0
1616100 0.494232 0
1616200 0.791352 0
1616300 0.698352 0
1616400 0.379978 0
1616500 0.0141134 0
1616600 -0.342678 0
1616700 -0.745713 0
1616800 -0.870575 0
1616900 -0.826513 0
1617000 -0.750883 0
1617100 -0.71641 0
1617200 -0.428448 0
1617300 0.188296 0
1617400 0.982842 0
1617500 1.23577 0
1617600 1.06321 0
1617700 0.616241 0
1617800 0.0538793 0
1617900 -0.446887 0
1618000 -0.796333 0
1618100 -0.935905 0
1618200 -0.824823 0
1618300 -0.552316 0
1618400 -0.105597 0
1618500 0.194389 0
1618600 0.267519 0
1618700 0.435731 0
1618800 0.692885 0
1618900 0.753209 0
1619000 0.414821 0
1619100 -0.0387123 0
1619200 -0.359195 0
1619300 -0.733648 0
1619400 -0.93611 0
1619500 -1.04347 0
1619600 -0.823408 0
1619700 -0.708504 0
