# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
3150100 28.4763 28
3150200 28.4929 28
3150300 28.6719 28
3150400 28.8141 28
3150500 28.7621 28
3150600 28.6578 28
3150700 28.4837 28
3150800 28.0085 28
3150900 27.5635 28
3151000 27.3728 28
3151100 27.428 28
3151200 27.6164 28
3151300 27.7306 28
3151400 27.9603 28
3151500 28.1824 28
3151600 28.3337 28
3151700 28.5395 28
3151800 28.5138 28
3151900 28.2085 28
3152000 27.8121 28
3152100 27.6703 28
3152200 27.659 28
3152300 27.6497 28
3152400 27.7473 28
3152500 27.8652 28
3152600 27.8731 28
3152700 27.9867 28
3152800 28.0898 28
3152900 27.9998 28
3153000 27.8887 28
3153100 27.8011 28
3153200 27.7304 28
3153300 27.505 28
3153400 27.4857 28
3153500 27.5414 28
3153600 27.5723 28
3153700 27.6102 28
3153800 27.3376 28
3153900 27.0835 28
3154000 27.1996 28
3154100 27.7157 28
3154200 28.1466 28
3154300 28.3914 28
3154400 28.4054 28
3154500 28.3579 28
3154600 28.433 28
3154700 28.586 28
3154800 28.4989 28
3154900 28.2031 28
3155000 28.0196 28
3155100 28.0678 28
3155200 28.2026 28
3155300 28.1793 28
3155400 28.1308 28
3155500 28.2 28
3155600 28.2882 28
3155700 28.2016 28
3155800 28.2721 28
3155900 28.0675 28
3156000 27.5391 28
3156100 27.0959 28
3156200 26.9318 28
3156300 26.8569 28
3156400 26.9541 28
3156500 26.9607 28
3156600 27.1074 28
3156700 27.2568 28
3156800 27.3525 28
3156900 27.3139 28
3157000 27.3927 28
3157100 27.5906 28
3157200 27.9013 28
3157300 27.8982 28
3157400 27.8761 28
3157500 27.9304 28
3157600 27.753 28
3157700 27.6335 28
3157800 27.7445 28
3157900 27.9405 28
3158000 27.9054 28
3158100 27.7352 28
3158200 27.7485 28
3158300 27.8268 28
3158400 27.6985 28
3158500 27.6624 28
3158600 27.8996 28
3158700 28.2627 28
3158800 28.7061 28
3158900 28.8163 28
3159000 28.8431 28
3159100 28.767 28
3159200 28.8856 28
3159300 28.8919 28
3159400 28.61 28
3159500 28.3382 28
3159600 27.9362 28
3159700 27.3993 28
3159800 27.1883 28
3159900 27.2795 28
3160000 27.6796 28
3160100 28.0959 28
3160200 28.4945 28
3160300 28.7685 28
3160400 28.8137 28
3160500 28.6454 28
3160600 28.3311 28
3160700 28.0595 28
3160800 27.9454 28
3160900 27.4367 28
3161000 26.9221 28
3161100 26.7198 28
3161200 26.6927 28
3161300 26.9514 28
3161400 27.224 28
3161500 27.3093 28
3161600 27.2077 28
3161700 27.1973 28
3161800 27.4831 28
3161900 27.6864 28
3162000 28.0234 28
3162100 28.1037 28
3162200 28.2021 28
3162300 28.2164 28
3162400 27.9721 28
3162500 27.7431 28
3162600 27.826 28
3162700 27.9935 28
3162800 28.264 28
3162900 28.3977 28
3163000 28.5984 28
3163100 28.8078 28
3163200 28.7754 28
3163300 28.5194 28
3163400 28.4386 28
3163500 28.4419 28
3163600 28.7963 28
3163700 29.2169 28
3163800 29.4163 28
3163900 29.3736 28
3164000 28.9726 28
3164100 28.2873 28
3164200 27.853 28
3164300 27.9291 28
3164400 28.122 28
3164500 28.4162 28
3164600 28.6738 28
3164700 28.5915 28
3164800 28.4245 28
3164900 28.1898 28
3165000 28.1604 28
3165100 28.0203 28
3165200 27.7637 28
3165300 27.6297 28
3165400 27.4994 28
3165500 27.5383 28
3165600 27.4482 28
3165700 27.3713 28
3165800 27.4012 28
3165900 27.5459 28
3166000 27.8871 28
3166100 28.2032 28
3166200 28.185 28
3166300 28.0721 28
3166400 28.0067 28
3166500 28.0828 28
3166600 27.9916 28
3166700 28.0953 28
3166800 28.3476 28
3166900 28.1429 28
3167000 27.7607 28
3167100 27.4147 28
3167200 27.0854 28
3167300 27.0887 28
3167400 27.4107 28
3167500 27.5838 28
3167600 27.7279 28
3167700 27.7603 28
3167800 27.7227 28
3167900 27.7125 28
3168000 27.5844 28
3168100 27.4815 28
3168200 27.4077 28
3168300 27.5238 28
3168400 27.7965 28
3168500 27.8882 28
3168600 28.1593 28
3168700 28.5863 28
3168800 28.9244 28
3168900 29.0578 28
3169000 29.1887 28
3169100 29.6569 28
3169200 29.6834 28
3169300 29.4922 28
3169400 29.5432 28
3169500 29.4851 28
3169600 29.1012 28
3169700 28.7644 28
3169800 28.5229 28
3169900 28.1949 28
3170000 28.0052 28
3170100 27.9822 28
3170200 27.9609 28
3170300 28.0397 28
3170400 28.3598 28
3170500 28.6445 28
3170600 28.7884 28
3170700 28.6758 28
3170800 28.24 28
3170900 27.9553 28
3171000 27.8913 28
3171100 27.8664 28
3171200 27.9034 28
3171300 27.949 28
3171400 28.1734 28
3171500 28.2939 28
3171600 28.3958 28
