ITEM: TIMESTEP
25000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
110 176.739 
111 171.915 
112 59.7787 
113 -60.7602 
114 19.0094 
115 144.076 
116 -95.0921 
ITEM: TIMESTEP
25300
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 -165.288 
2 -33.7556 
3 85.4628 
4 84.2805 
5 -37.5866 
6 -156.034 
7 83.9991 
8 -34.4478 
9 -154.134 
10 -159.037 
11 82.5158 
12 -37.1702 
13 82.6668 
14 -36.8531 
15 -159.887 
16 -140.562 
17 -21.1885 
18 98.693 
19 59.2835 
20 -55.1555 
21 174.224 
22 59.7851 
23 -61.3317 
24 -175.771 
25 -44.7307 
26 66.8287 
27 -163.115 
28 79.382 
29 -50.3093 
30 -163.723 
31 66.5859 
32 -46.2203 
33 -44.4545 
34 -174.146 
35 73.048 
36 -49.6636 
37 -165.516 
38 68.9853 
39 -105.03 
40 134.543 
41 14.4573 
42 -108.316 
43 -125.031 
44 120.625 
45 10.0875 
46 -3.13386 
47 -117.478 
48 131.984 
49 116.566 
50 2.22155 
51 -116.773 
52 122.22 
53 -3.99589 
54 124.148 
55 -113.89 
56 3.28162 
57 94.4532 
58 -20.515 
59 -141.954 
60 101.234 
61 -20.2052 
62 -143.797 
63 -146.126 
64 92.4346 
65 -31.1577 
66 -95.7396 
67 137.722 
68 27.4144 
69 173.571 
70 -69.7338 
71 58.6102 
72 172.044 
73 47.5165 
74 -68.7276 
75 -153.932 
76 87.4882 
77 -31.1465 
78 -146.834 
79 94.5317 
80 -28.2539 
81 -29.8644 
82 -148.499 
83 88.7152 
84 -71.7146 
85 61.9738 
86 172.276 
87 161.606 
88 -78.4708 
89 36.6028 
90 -122.171 
91 106.117 
92 -6.3907 
93 -133.258 
94 114.234 
95 -1.54691 
96 -10.9193 
97 -123.427 
98 120.792 
99 -52.4296 
100 -178.061 
101 60.3136 
102 177.869 
103 56.3916 
104 -59.9623 
105 75.0176 
106 -48.6735 
107 -165.998 
108 72.9458 
109 -44.3786 
110 -163.363 
111 -161.882 
112 80.7932 
113 -38.1913 
114 45.5568 
115 157.827 
116 -75.7344 
ITEM: TIMESTEP
25400
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 -179.345 
2 -68.0788 
3 58.8666 
4 99.3136 
5 -28.4072 
6 -141.876 
7 97.3165 
8 -16.1521 
9 -134.963 
10 -148.342 
11 98.1891 
12 -20.6215 
13 65.2282 
14 -59.5945 
15 -173.073 
16 -130.435 
17 -6.16377 
18 107.537 
19 105.139 
20 -12.3054 
21 -129.061 
22 113.494 
23 -9.88372 
24 -127.329 
25 -49.3034 
26 67.6815 
27 174.417 
28 45.4702 
29 -68.7358 
30 160.918 
31 46.7117 
32 -70.136 
33 -82.0028 
34 163.791 
35 46.9435 
36 -99.1154 
37 146.132 
38 27.639 
39 -105.342 
40 129.694 
41 13.4997 
42 -89.0855 
43 -81.3779 
44 156.819 
45 36.0656 
46 35.7743 
47 -86.0289 
48 153.218 
49 153.471 
50 31.6678 
51 -127.522 
52 108.764 
53 -9.52601 
54 108.259 
55 -125.16 
56 -7.09667 
57 100.326 
58 -16.76 
59 -142.445 
60 95.8576 
61 -29.8271 
62 -147.057 
63 -136.865 
64 97.45 
65 -19.7795 
66 -83.0112 
67 164.743 
68 45.4168 
69 -151.514 
70 -31.3328 
71 92.0163 
72 -178.925 
73 65.2783 
74 -51.3984 
75 -148.546 
76 94.0764 
77 -23.8808 
78 -148.732 
79 93.3108 
80 -31.3547 
81 -32.3922 
82 -150.349 
83 84.9852 
84 -78.5645 
85 40.2923 
86 162.57 
87 131.338 
88 -109.345 
89 2.99302 
90 166.134 
91 48.0448 
92 -75.0355 
93 157.981 
94 34.9007 
95 -83.93 
96 -84.4284 
97 152.491 
98 33.6605 
99 12.2671 
100 -106.619 
101 143.514 
102 -154.773 
103 75.7662 
104 -30.1784 
105 63.523 
106 -55.8177 
107 171.865 
108 71.8334 
109 -60.4837 
110 -168.826 
111 -178.823 
112 48.8599 
113 -59.4823 
114 178.608 
115 -70.1698 
116 62.218 
ITEM: TIMESTEP
25500
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 -169.559 
2 -48.4927 
3 72.7416 
4 72.3752 
5 -47.3183 
6 -165.358 
7 69.9261 
8 -48.1135 
9 -170.38 
10 -168.384 
11 73.5766 
12 -48.6902 
13 96.9584 
14 -30.8466 
15 -142.258 
16 -172.521 
17 -50.6137 
18 63.9763 
19 142.651 
20 25.8899 
21 -88.5727 
22 154.666 
23 29.7121 
24 -87.0494 
25 -48.4222 
26 67.3057 
27 168.257 
28 41.2365 
29 -74.9454 
30 145.719 
31 29.5373 
32 -87.2601 
33 -87.471 
34 156.347 
35 39.5498 
36 -148.092 
37 98.7045 
38 -21.2916 
39 -126.191 
40 117.597 
41 -1.68803 
42 -41.2121 
43 -40.179 
44 -155.309 
45 81.3258 
46 81.7512 
47 -33.3789 
48 -156.744 
49 -162.717 
50 82.153 
51 -139.837 
52 98.5528 
53 -26.4276 
54 135.145 
55 -96.8028 
56 19.6082 
57 86.1613 
58 -40.9284 
59 -159.486 
60 79.5891 
61 -38.969 
62 -153.321 
63 -170.985 
64 70.457 
65 -43.8953 
66 -91.0759 
67 155.577 
68 32.013 
69 -129.019 
70 -5.24455 
71 114.609 
72 -175.1 
73 61.6891 
74 -50.3074 
75 -139.837 
76 100.349 
77 -16.8009 
78 -140.477 
79 102.373 
80 -20.6624 
81 -23.61 
82 -140.76 
83 96.2046 
84 -74.332 
85 52.3299 
86 175.109 
87 112.745 
88 -129.087 
89 -13.2795 
90 147.477 
91 21.9373 
92 -110.674 
93 142.694 
94 10.083 
95 -91.7668 
96 -99.6474 
97 127.742 
98 25.8919 
99 -78.5214 
100 163.651 
101 43.4096 
102 -173.261 
103 63.3865 
104 -47.7288 
105 71.9129 
106 -48.2201 
107 -163.066 
108 74.6985 
