strain,sxx_GPa,syy_GPa,szz_GPa
-0.13800,-1.07667,-0.01459,-0.03053
-0.13900,-1.13972,-0.04368,-0.03267
-0.14000,-1.11236,0.06897,0.06367
-0.14100,-1.20404,-0.02506,-0.04630
-0.14200,-1.15345,0.00291,-0.01163
-0.14300,-1.16564,0.00254,0.00571
-0.14400,-1.24128,-0.00328,-0.00680
-0.14500,-1.22361,-0.00436,0.05140
-0.14600,-1.30906,0.00645,-0.00090
-0.14700,-1.41819,-0.00318,-0.01417
-0.14800,-1.45720,0.04591,0.00013
-0.14900,-1.53902,-0.09155,-0.13258
-0.15000,-1.35399,0.10041,0.13725
-0.15100,-1.50613,-0.06193,-0.02882
-0.15200,-1.48245,-0.00086,0.03962
-0.15300,-1.52061,-0.00717,0.00979
-0.15400,-1.55232,-0.03196,-0.08423
-0.15500,-1.36913,0.13553,0.06074
-0.15600,-1.45997,-0.02304,-0.02426
-0.15700,-1.51755,-0.07793,0.00203
-0.15800,-1.45905,0.00647,0.07274
-0.15900,-1.52416,-0.00778,-0.03220
-0.16000,-1.53360,0.02862,-0.08290
-0.16100,-1.41653,0.07624,0.02104
-0.16200,-1.46428,-0.06575,-0.05427
-0.16300,-1.19481,0.05161,0.13914
-0.16400,-1.13100,-0.08936,0.00939
-0.16500,-1.03640,-0.05910,-0.09494
-0.16600,-0.85698,0.20114,0.04829
-0.16700,-1.11816,-0.07871,-0.12999
-0.16800,-1.00329,-0.00706,0.04123
-0.16900,-0.95709,0.02362,0.11107
-0.17000,-1.10562,-0.11344,-0.06440
-0.17100,-1.04747,0.06089,0.00646
-0.17200,-1.12250,0.03384,-0.06704
-0.17300,-1.17460,-0.04473,-0.00433
-0.17400,-1.15678,-0.01406,0.05890
-0.17500,-1.24814,-0.03281,-0.06107
-0.17600,-1.25160,0.06090,0.02169
-0.17700,-1.38918,-0.05037,-0.01534
-0.17800,-1.39764,-0.04551,-0.01313
-0.17900,-1.38914,0.05247,0.04349
-0.18000,-1.40675,-0.02024,-0.07793
-0.18100,-1.30522,0.12421,0.04655
-0.18200,-1.44166,-0.09383,-0.01796
-0.18300,-1.43310,-0.03139,0.05779
-0.18400,-1.50350,0.00494,0.01644
-0.18500,-1.61556,-0.00076,-0.06053
-0.18600,-1.56034,0.06439,0.00230
-0.18700,-1.58200,0.00054,0.01101
-0.18800,-1.61069,-0.06455,-0.04783
-0.18900,-1.38831,-0.00654,0.08581
-0.19000,-1.39629,-0.03113,-0.02709
-0.19100,-1.31622,0.06894,-0.03765
-0.19200,-1.26715,0.07149,-0.00490
-0.19300,-1.32592,-0.09301,-0.02548
-0.19400,-1.10407,0.01030,0.07985
-0.19500,-1.03751,-0.00237,0.04166
-0.19600,-1.03696,-0.04781,-0.10740
-0.19700,-0.82194,0.09670,0.05429
-0.19800,-0.98293,-0.05262,0.00192
-0.19900,-1.04514,-0.07832,-0.01336
-0.20000,-0.89732,0.13277,0.07444
